doorfloor.png
x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x
x,x 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0
x,x 1,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 1,0
x,x 1,0 0,0 0,0 0,0 1,2 1,2 1,2 0,0 0,0 0,0 1,0
x,x 1,0 0,0 0,0 1,2 1,2 2,1 1,2 1,2 0,0 0,0 1,0
x,x 1,0 0,0 1,2 1,2 1,1 0,1 1,1 1,2 1,2 0,0 1,0
x,x 1,0 0,0 1,2 2,1 0,1 2,0 0,1 2,1 1,2 0,0 1,0
x,x 1,0 0,0 1,2 1,2 1,1 0,1 1,1 1,2 1,2 0,0 1,0
x,x 1,0 0,0 0,0 1,2 1,2 2,1 1,2 1,2 0,0 0,0 1,0
x,x 1,0 0,0 0,0 0,0 1,2 1,2 1,2 0,0 0,0 0,0 1,0
x,x 1,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 1,0
x,x 1,0 1,0 1,0 1,0 1,0 0,0 1,0 1,0 1,0 1,0 1,0
